166805.148,66960.992	166774.893,66985.657
171805.148,66960.992	171774.651,66987.596
26805.148,71960.992	26778.628,71958.324
31805.148,71960.992	31781.149,71959.254
36805.148,71960.992	36780.451,71959.596
41805.148,71960.992	41778.706,71959.807
46805.148,71960.992	46778.021,71960.961
51805.148,71960.992	51776.388,71963.532
56805.148,71960.992	56775.372,71965.253
61805.148,71960.992	61774.890,71966.433
66805.148,71960.992	66774.629,71966.401
71805.148,71960.992	71772.793,71965.981
76805.148,71960.992	76772.567,71965.919
81805.148,71960.992	81771.387,71965.865
86805.148,71960.992	86770.891,71966.174
91805.148,71960.992	91770.501,71967.307
96805.148,71960.992	96770.564,71967.805
101805.148,71960.992	101770.164,71968.857
106805.148,71960.992	106770.491,71970.163
111805.148,71960.992	111770.131,71972.026
116805.148,71960.992	116771.345,71974.315
121805.148,71960.992	121772.094,71976.418
126805.148,71960.992	126772.576,71977.611
131805.148,71960.992	131772.424,71978.164
136805.148,71960.992	136773.338,71979.175
141805.148,71960.992	141773.031,71980.072
146805.148,71960.992	146774.206,71981.115
151805.148,71960.992	151773.701,71981.901
156805.148,71960.992	156774.176,71982.587
161805.148,71960.992	161772.291,71982.950
166805.148,71960.992	166773.938,71984.067
171805.148,71960.992	171772.091,71985.327
26805.148,76960.992	26777.673,76959.641
31805.148,76960.992	31780.070,76960.272
36805.148,76960.992	36778.945,76960.599
41805.148,76960.992	41777.361,76961.327
46805.148,76960.992	46776.281,76962.849
51805.148,76960.992	51774.990,76964.306
56805.148,76960.992	56773.933,76966.029
61805.148,76960.992	61773.328,76967.374
66805.148,76960.992	66772.593,76967.414
71805.148,76960.992	71771.431,76966.914
76805.148,76960.992	76770.965,76966.643
81805.148,76960.992	81769.370,76966.782
86805.148,76960.992	86769.387,76967.287
91805.148,76960.992	91768.801,76968.266
96805.148,76960.992	96769.763,76968.885
101805.148,76960.992	101768.508,76969.915
106805.148,76960.992	106768.941,76971.300
111805.148,76960.992	111768.315,76973.167
116805.148,76960.992	116769.128,76975.503
121805.148,76960.992	121770.487,76977.351
126805.148,76960.992	126771.211,76978.312
131805.148,76960.992	131771.264,76978.932
136805.148,76960.992	136771.392,76979.953
141805.148,76960.992	141771.530,76980.950
146805.148,76960.992	146771.932,76981.656
151805.148,76960.992	151772.165,76982.651
156805.148,76960.992	156772.767,76983.202
161805.148,76960.992	161770.498,76983.715
166805.148,76960.992	166772.350,76984.839
171805.148,76960.992	171770.504,76986.647
26805.148,81960.992	26776.584,81959.107
31805.148,81960.992	31778.432,81959.359
36805.148,81960.992	36777.618,81959.709
41805.148,81960.992	41775.919,81960.371
46805.148,81960.992	46774.382,81961.483
51805.148,81960.992	51773.260,81963.814
56805.148,81960.992	56772.447,81965.458
61805.148,81960.992	61771.585,81966.271
66805.148,81960.992	66771.222,81966.832
71805.148,81960.992	71769.729,81966.240
76805.148,81960.992	76768.726,81965.924
81805.148,81960.992	81767.873,81966.232
86805.148,81960.992	86767.488,81966.639
91805.148,81960.992	91767.351,81967.641
96805.148,81960.992	96767.251,81968.388
101805.148,81960.992	101766.697,81968.994
106805.148,81960.992	106767.709,81970.374
111805.148,81960.992	111767.051,81972.679
116805.148,81960.992	116767.718,81974.511
121805.148,81960.992	121768.619,81976.711
126805.148,81960.992	126770.191,81977.746
131805.148,81960.992	131768.975,81978.287
136805.148,81960.992	136770.286,81979.355
141805.148,81960.992	141769.871,81980.484
146805.148,81960.992	146770.659,81981.063
151805.148,81960.992	151770.200,81981.837
156805.148,81960.992	156770.802,81982.470
161805.148,81960.992	161768.921,81982.924
166805.148,81960.992	166770.705,81984.086
171805.148,81960.992	171768.374,81985.609
